ptr,name,defined_at_hex,section
0x26e6e837940,AuthSellItem_BP,0x0d8f06,B_symbols
0x26e6e838040,Get,0x0dd83f,B_symbols
0x26e6e838580,$beh2,0x0e297c,B_symbols
0x26e6e838900,opAssign,0x0e1ae0,B_symbols
0x26e6e838ac0,$beh2,0x0e29d2,B_symbols
0x26e6e838e40,GetBarracudaGameStateComponent,0x0dfe7e,B_symbols
0x26e6e839000,GetCurrentBarracudaPhase,0x0e2dd4,B_symbols
0x26e6e8391c0,GetCurrentBarracudaPhaseType,0x0ddf2e,B_symbols
0x26e6e839380,GetCurrentBarracudaPhaseTime,0x0e0785,B_symbols
0x26e6e839700,ABarracudaTeamState,0x0e2e6b,B_symbols
0x26e6e8398c0,ABarracudaTeamState,0x0e309d,B_symbols
0x26e6e839c40,GetBarracudaTeamState,0x0e31c5,B_symbols
0x26e6e83a180,SetSpawnerSpawnTime,0x0ec2b8,B_symbols
0x26e6e83a340,NetMulticastSpawnerNextSpawnTime,0x0e3378,B_symbols
0x26e6e83a6c0,ABarracudaTeamState_TeamOnly,0x0e3128,B_symbols
0x26e6e83a880,ABarracudaTeamState_TeamOnly,0x0e358b,B_symbols
0x26e6e83aa40,GetBarracudaTeamStateTeamOnly,0x0ea884,B_symbols
0x26e6e83ac00,StaticClass,0x0e2f77,B_symbols
0x26e6e83b4c0,GetArmoryUniqueEffectTextForItemClass,0x0d6ef9,B_symbols
0x26e6e83bf40,ALokiAirship_AS,0x0d60b4,B_symbols
0x26e6e83c100,ImpulseAllPassengers,0x0d5210,B_symbols
0x26e6e83c480,IsRoadkillImmune,0x0d56e0,B_symbols
0x26e6e83c9c0,GetStrength,0x0d40a7,B_symbols
0x26e6e83cf00,SetDamagePhase,0x0d41e6,B_symbols
0x26e6e83d0c0,UBarracudaJungleCreepComponent,0x0dba19,B_symbols
0x26e6e83d600,ULokiPlayerControllerShopSkylandsComponent,0x0db458,B_symbols
0x26e6e83d7c0,RollNewShopItem,0x0db3c7,B_symbols
0x26e6e83dd00,AuthBuyShopSaleItem,0x0db231,B_symbols
0x26e6e83e400,CanBuyItem,0x0d9219,B_symbols
0x26e6e83e5c0,IsAssetIDEnabled,0x0d8182,B_symbols
0x26e6e83e780,ULokiPlayerControllerArmoryComponent,0x0dad2b,B_symbols
0x26e6e83ee80,GetStarCountForItem,0x0d9321,B_symbols
0x26e6e83f040,GetPlayerState,0x0d8d77,B_symbols
